,review,rating
16461,happy old prejudice food place substitution rest particular movement accommodate love pancake egg pork hold sausage hashbrown problem order turkey sandwich,3 stars
16462,whole minute time drive food,1 star
16463,clean amazing customer service vibe great location top favorite mcdonald restaurant,5 stars
16464,,1 star
16465,guy order order nice helpful,5 stars
16466,service member order lifesaver morning family staff member,5 stars
16467,food consistent lot impossible use wrap parking lot minute way,2 stars
16468,bad exsperence day row slow matter time fry old several different occasion sweet,1 star
16469,burger perfect way hot fast friendly service great,5 stars
16470,mcdonald morning time rat mouse ginourmous rat kid heavy hitter size size amazed tame scary way parking lot worry world little food unsure way presence mcmuffin,1 star
16471,busy time minute food,4 stars
16472,third time year drive thru order wrong time manager car restaurant wait line,1 star
16473,location top game line rush hour friendly efficient love mcdonald,5 stars
16474,gross bathroom sketchy security,2 stars
16475,good service ranch ketchup fast drive,1 star
16476,back 70 place many decade old fashioned food little greasy salty mcdonald branch,2 stars
16477,mcdonald star normal mcdonald low common denominator food mcdonald food hot,4 stars
16478,new beacon extreame burgar onion nice choice clean neat service quick,5 stars
16479,rude manager,1 star
16480,good 1st time kid vacation greeting food quality good star,5 stars
16481,happy meal toy today grandson phone busy minute,1 star
16482,open hour drive least item craving day night friendly staff,5 stars
16483,afternoon crew ignorant arrogant incident normal unpleasant order,1 star
16484,slow service,3 stars
16485,today restaurant renovation date open,2 stars
16486,good mcdonald food fresh service amount customer,5 stars
16487,mcdonald filthy parking lot disgusting outside filthy,2 stars
16488,people food place people yam egg ordered2 sandwich coffee people management,1 star
16489,food tasteless sausage mcmuffin bad water,1 star
16490,parking lot small drive way row parking place busy visit fast food place 2ant,3 stars
16491,cold burger disgusting meat fry,1 star
16492,mcdonald consistent order right,3 stars
16493,hot fresh lunch rush good quarter pounder minute,5 stars
16494,slow drive thru cost,1 star
16495,food kill food star feed stuff kid wrong,1 star
16496,sure flavor coffee cus last time iced coffee,1 star
16497,food warm staff impression,3 stars
16498,friendly food good french fry hot bad cold french fry,4 stars
16499,country man order thankz,5 stars
16500,am cash card terminal working buck cash spend oder wrong terrible experience,1 star
16501,chicken tender hard buttermilk crispy chicken sandwich,1 star
16502,usual mcdonald busy great active drive able park hard,5 stars
16503,mcdonald,4 stars
16504,excellent place service,5 stars
16505,love work restaurant many customer service accessibility,5 stars
16506,good service big spacious case eat,5 stars
16507,great customer service friendly staff order timely manner staff,5 stars
16508,bad mcdonald breakfast early morning breakfast morning card reader day debit credit card long time,1 star
16509,bad experience parking lot minute order order stuff,1 star
16510,place order certain thing homelesssnow teenager ordermy grandma ice cream cone cup insteadi different mcdonald right fix problem,1 star
16511,many order fry weird different mcdonald,2 stars
16512,quick easy location place clean,5 stars
16513,location reconstruction building steel support fence lot,1 star
16514,fast food right service d fast food different,5 stars
16515,board accurate food nugget fresh forgot sauce napkin,3 stars
16516,ice coffee perfect time watery creammilk vanilla flavor,4 stars
16517,staff friendly restaurant clean busy little lot,4 stars
16518,new mcdonald nice thru lane,4 stars
16519,great place bad mcdonald quick meal eat,4 stars
16520,dining room gnat employee reaction gnat other giant hurry reason,2 stars
16521,fast point contact order line payment window pick window,5 stars
16522,good service,5 stars
16523,mcdonald,5 stars
16524,nice customer service free wifi outside seat small parking lot overall good experience,4 stars
16525,friendly staff quick service well mcdonald,5 stars
16526,hour drive thru informed cash sign late night,1 star
16527,homeless comunity visit hand,1 star
16528,meh old fart senior coffee cent good starbuck,3 stars
16529,good food,5 stars
16530,guy meth pipe trash food methademic,5 stars
16531,store today sausage mcmuffin,3 stars
16532,friendly fast issue,5 stars
16533,quick service friendly staff food yummm breakfast awesome,5 stars
16534,disrespectful employee nugget flush toilet nice restaurant,1 star
16535,low rating intersection parking lot tiny,3 stars
16536,today 1115am free big macmaccoin,5 stars
16537,lunch hour rush great sevice fry oreo shake,5 stars
16538,fast service friendly bathroom available thank,5 stars
16539,good food area many homeless people careful dark,3 stars
16540,small order food anyplace someone way,4 stars
16541,bad customer service rude lie condiment food home,2 stars
16542,fast food good mcds,4 stars
16543,good service food quick good coffee quality food,5 stars
16544,friendly fast counter personalalway willing sure order correct,4 stars
16545,location good employee,5 stars
16546,place bathroom difficult clean beauty well condition,4 stars
16547,second story lie floor,5 stars
16548,time simple order poor management unacceptable cleanliness standard,1 star
16549,open hour dining room mcdonald,5 stars
16550,amazing job morning busy people,5 stars
16551,unhealthy poisonous food acidic lack nutrient fat carbohydrate food illigal period,1 star
16552,ay listen place star err day week real fry real fry,5 stars
16553,cold fry min customer horrendous customer service place,1 star
16554,entrance fee exiting drive lol,2 stars
16555,24h am drive,1 star
16556,great job location,5 stars
16557,customer service homeless lot good mcdonald,4 stars
16558,,1 star
16559,mobile order thing extra onion none difficult people extra onion,1 star
16560,trash,1 star
16561,efficient,4 stars
16562,wife,5 stars
16563,small friendly clean,5 stars
16564,food people front,1 star
16565,great food bad setup lane,3 stars
16566,fry request lettuce lettuce,2 stars
16567,food mcdonald hazelnut iced coffee,5 stars
16568,bad thru minute order bad mcdonald world,1 star
16569,mcds good time time great thank cool staff,5 stars
16570,park lot small congested stuck min employee arogant,1 star
16571,order wrong coffee hot chocolate ketchup burger ketchup,1 star
16572,,5 stars
16573,minute egg mcmuffin,2 stars
16574,slow service small restaurant food decent,3 stars
16575,price transaction fast food alternative,3 stars
16576,cheerful helpful great service downside homeless people,4 stars
16577,ice cream machine low quality location,1 star
16578,long line fast service impressive,5 stars
16579,favorite place fair price good food good crew,5 stars
16580,star ice cream cone boo,4 stars
16581,dirty many fly bad service,1 star
16582,narrow sharp turn thing standard mcds,4 stars
16583,coffee minute good experience,1 star
16584,gogur happy mealand today toy,1 star
16585,mcdonald time straw napkin sauce,3 stars
16586,time order far mcdonald,3 stars
16587,long time unorganized nice employee,1 star
16588,location friendly staff slow drive,3 stars
16589,long line machine credit card sad huge company,1 star
16590,ass name other shame love location,5 stars
16591,service terrible employee training enhance costumer service skill,1 star
16592,great early morning,5 stars
16593,mcdonald special fresh fry,5 stars
16594,night service suck manger attitude day problem,1 star
16595,fast people friendly,4 stars
16596,order cheeseburger onion lovely man counter remade charge,5 stars
16597,good taste year kid,3 stars
16598,cheep ketchup mayonnaise,2 stars
16599,granddaughter oreo cooky icecream,5 stars
16600,line park space way small minute coffee,1 star
16601,staff little casual taking order,3 stars
16602,dirty friendly act job,2 stars
16603,great spot mellow atmosphere figured niche,3 stars
16604,drive well service,5 stars
16605,small min people food,1 star
16606,good coffee service nice,5 stars
16607,,1 star
16608,slow mcdonald minute thru line,1 star
16609,homeless people bathroom food wrong,1 star
16610,good decent price quick service,5 stars
16611,busy mcdonald thru parking lot tight,4 stars
16612,cashier star new,2 stars
16613,service,4 stars
16614,super fancy electric menu impressive,5 stars
16615,crowded parking lot homeless dirty cup uber driver lot dirty drink cup dirty fry container top,1 star
16616,great coffee fast service,5 stars
16617,good health little good food,2 stars
16618,standby snack dblcheeseburger small fry high school lunch,4 stars
16619,good want,5 stars
16620,food delicious fry hot,5 stars
16621,walk up order food,3 stars
16622,fry,5 stars
16623,management problem customer error,1 star
16624,fast efficient,4 stars
16625,anytime pm hit pm hot,4 stars
16626,love value meal great place dessert,5 stars
16627,easy quick bite self ordering,4 stars
16628,clean store fast service mcgriddle,4 stars
16629,old food bad cheap right marketing,4 stars
16630,disgusting love franchise food,2 stars
16631,small place drive take,2 stars
16632,typical mcdonald long line special home,2 stars
16633,slow line drive,2 stars
16634,fast happy meal friendly,4 stars
16635,,1 star
16636,mcdonald side,5 stars
16637,unorganized,2 stars
16638,frequent fry little well noho burbank blvd,5 stars
16639,much mayo soda old cup,2 stars
16640,big guy awesome place awesome singing dude,5 stars
16641,nice location large comfy friendly staff plenty parking space,5 stars
16642,one walk open hour,5 stars
16643,mcdonald bathroom,1 star
16644,busy day cash,4 stars
16645,good coffee,5 stars
16646,convenient mcdonald busy,4 stars
16647,porci,5 stars
16648,able quarter pounder,5 stars
16649,many mcdonald filthy bathroom,3 stars
16650,rating love turtle,5 stars
16651,much class,5 stars
16652,service,1 star
16653,great lot neerdowell weary traveller,3 stars
16654,long line slow toi,3 stars
16655,bed service bad manager,1 star
16656,premium chichen sandwich gross soggy cold,2 stars
16657,long ice cream cone shame,2 stars
16658,excellent coffee price,3 stars
16659,rude female employee work,2 stars
16660,double quarter pounder wrong cheese,5 stars
16661,wrong chicken,5 stars
16662,bad food paper,2 stars
16663,good service,3 stars
16664,food courier respect restaurant owner note,5 stars
16665,healthy good cold water,1 star
16666,fast service good family pack,3 stars
16667,fast thru rush hour,4 stars
16668,careful drive,3 stars
16669,toilet employee women,4 stars
16670,cheap tasty,5 stars
16671,business excellent food fast service,5 stars
16672,food terrible homeless person parking lot restroom,1 star
16673,good clean easy park,4 stars
16674,hair food,2 stars
16675,food several item,4 stars
16676,sloppy vanilla ice cream cone today,2 stars
16677,24hrs line bathroom pm place open,4 stars
16678,mccaf,5 stars
16679,cashier unfriendly sandwich bacon,1 star
16680,food service price difference,2 stars
16681,service food,3 stars
16682,food service,1 star
16683,breakfast fast clean restroom,5 stars
16684,healthy food hungry,3 stars
16685,sad homeless,2 stars
16686,munchie clock mcdonald,5 stars
16687,therapist,5 stars
16688,great service,5 stars
16689,crowded,3 stars
16690,fast food,3 stars
16691,good fry stale,1 star
16692,parking nightmare way many homeless,2 stars
16693,fresh fast service,5 stars
16694,way vegetarian,1 star
16695,fast mcdonald,5 stars
16696,,3 stars
16697,decent service mcdonald,4 stars
16698,good place breakfast,4 stars
16699,clean,5 stars
16700,,5 stars
16701,place total bad bad,1 star
16702,slow,2 stars
16703,wrong order food,3 stars
16704,good far mcdonald,3 stars
16705,slow order accurate,4 stars
16706,,1 star
16707,good dirty,3 stars
16708,good location good food service,4 stars
16709,restroom bad service,1 star
16710,nice specialty coffee drink,5 stars
16711,small place clean,4 stars
16712,,5 stars
16713,burger picture,1 star
16714,great service,5 stars
16715,burger small small price high,1 star
16716,fast congratulation good team,5 stars
16717,awful,1 star
16718,excellent example,3 stars
16719,staff management friendly professional,5 stars
16720,menu card,5 stars
16721,slow service,3 stars
16722,meth epidemic,1 star
16723,good fast great mcdonald,5 stars
16724,loud obxious order,1 star
16725,premier site latin,5 stars
16726,friendly service,4 stars
16727,attention,5 stars
16728,typical mcdonald bit ccleaner,4 stars
16729,great food reasonable price,5 stars
16730,dirty tight parking lot many homeless people,2 stars
16731,tomato,2 stars
16732,great place,5 stars
16733,coupon,1 star
16734,convient right,2 stars
16735,good good,1 star
16736,beebe enough parking little place location location location,3 stars
16737,fast food,3 stars
16738,love mcdonald,5 stars
16739,attendant,2 stars
16740,,1 star
16741,great place clean,4 stars
16742,place busy time,3 stars
16743,quick friendly service,5 stars
16744,nice customer service,5 stars
16745,excellent place food,5 stars
16746,local mccy good experience,5 stars
16747,willing accommodate time,5 stars
16748,many homeless people,3 stars
16749,good service slow,4 stars
16750,staff helpful,5 stars
16751,worker rude,1 star
16752,order fresh chicken hot fresh,3 stars
16753,love manager,5 stars
16754,good friendly,5 stars
16755,little dirty table clean,1 star
16756,company world artery grease burger,1 star
16757,great people,5 stars
16758,big,5 stars
16759,,5 stars
16760,,5 stars
16761,small great staff,4 stars
16762,convenient fast food,4 stars
16763,horrible service fire bitch,1 star
16764,parking space parking lot terrible,3 stars
16765,average fry cold soggy,3 stars
16766,good staff lot homeless,4 stars
16767,macdonald good,4 stars
16768,good service,5 stars
16769,good valley,3 stars
16770,mcdouble nice hot,5 stars
16771,typical special,3 stars
16772,slow,1 star
16773,great family member,4 stars
16774,manager nice,4 stars
16775,pee,1 star
16776,great fast service,5 stars
16777,simple cheap,4 stars
16778,life,5 stars
16779,clean friendly staff quick,5 stars
16780,great coffee special shot,5 stars
16781,great place food,4 stars
16782,efficient,5 stars
16783,great normal,5 stars
16784,great love work,5 stars
16785,kid ice cream,5 stars
16786,quick great deal,5 stars
16787,bunch rat,1 star
16788,small unorganized dirty,1 star
16789,construction,5 stars
16790,limited parking alot traffic,2 stars
16791,helpful,4 stars
16792,clean food fresh,5 stars
16793,good ice cream,5 stars
16794,great service,4 stars
16795,hot friez,5 stars
16796,delicious,4 stars
16797,good clean,5 stars
16798,small nice place,5 stars
16799,ice cream time,3 stars
16800,app free stuff,5 stars
16801,food ok price,3 stars
16802,good costumer service,5 stars
16803,fast service,4 stars
16804,soda size,5 stars
16805,place character,4 stars
16806,straw,1 star
16807,good emergency,2 stars
16808,,3 stars
16809,great service cashier,5 stars
16810,good friendly food,5 stars
16811,,5 stars
16812,,5 stars
16813,dirty bad customer service,1 star
16814,homeless people,1 star
16815,mistake,2 stars
16816,quick service,5 stars
16817,mcdonald different,5 stars
16818,fry,1 star
16819,breakfast load saltsugar,3 stars
16820,quick food fresh clean,4 stars
16821,line,3 stars
16822,bad customer service,2 stars
16823,good customer service,5 stars
16824,outlet,2 stars
16825,table dirty,2 stars
16826,filthy dangerous lot homeless,1 star
16827,fast food,5 stars
16828,service great,5 stars
16829,decent mcdonald,4 stars
16830,good food,5 stars
16831,cool,5 stars
16832,awesome,5 stars
16833,good,5 stars
16834,fast food,2 stars
16835,great place,5 stars
16836,burger,5 stars
16837,nice cozy place,4 stars
16838,restroom,3 stars
16839,cash,1 star
16840,spot,5 stars
16841,waiting time,3 stars
16842,fast good,3 stars
16843,nice place,5 stars
16844,bad ehh,5 stars
16845,good worker,5 stars
16846,lazy late wrong order,1 star
16847,fat,5 stars
16848,uncooked food,1 star
16849,pink slime,1 star
16850,clean friendly,5 stars
16851,inconsistent customer servicing,2 stars
16852,nice small restaurant,5 stars
16853,good normal,2 stars
16854,fast drive thru,4 stars
16855,elastrada,3 stars
16856,food,4 stars
16857,bad,1 star
16858,great late bite,5 stars
16859,great coffee burger,4 stars
16860,,3 stars
16861,poor customer service,3 stars
16862,next campground,4 stars
16863,son,5 stars
16864,little bit sketchy,3 stars
16865,love,5 stars
16866,,2 stars
16867,love,5 stars
16868,sketchy reliable,4 stars
16869,price,1 star
16870,love,5 stars
16871,love mcdonald,5 stars
16872,,5 stars
16873,open hour,5 stars
16874,old old decade,3 stars
16875,uncoordinated rude,1 star
16876,service slow,2 stars
16877,great service,5 stars
16878,slow,3 stars
16879,service good,4 stars
16880,meh,3 stars
16881,service,4 stars
16882,,1 star
16883,service,4 stars
16884,friendly service,4 stars
16885,love mcdonald,5 stars
16886,classic,5 stars
16887,,3 stars
16888,great service,5 stars
16889,superb,5 stars
16890,love,5 stars
16891,great service,5 stars
16892,,5 stars
16893,french fry breakfast,5 stars
16894,great service,5 stars
16895,quick service,3 stars
16896,love hamburger,5 stars
16897,great service,5 stars
16898,love,5 stars
16899,,3 stars
16900,great breakfast,5 stars
16901,,5 stars
16902,convenient,3 stars
16903,great service,4 stars
16904,,2 stars
16905,polite,5 stars
16906,area kid,5 stars
16907,good place,4 stars
16908,fast service,4 stars
16909,gross numb city,1 star
16910,,5 stars
16911,good,5 stars
16912,nice staff,5 stars
16913,,5 stars
16914,,5 stars
16915,,4 stars
16916,name,5 stars
16917,service,5 stars
16918,,5 stars
16919,delicious,5 stars
16920,good price,5 stars
16921,fry,5 stars
16922,,5 stars
16923,food dry,3 stars
16924,,5 stars
16925,service,5 stars
16926,horrible,1 star
16927,delicious,5 stars
16928,great,5 stars
16929,awesome,5 stars
16930,good,3 stars
16931,great,5 stars
16932,great,5 stars
16933,awesome,5 stars
16934,nice,4 stars
16935,yummy,4 stars
16936,fast service,5 stars
16937,awful,1 star
16938,hot,5 stars
16939,tasty,4 stars
16940,,5 stars
16941,good,4 stars
16942,awful,1 star
16943,fast service,4 stars
16944,great,5 stars
16945,slow,1 star
16946,fast service,4 stars
16947,rude,1 star
16948,,1 star
16949,fast service,4 stars
16950,mclobster,5 stars
16951,,4 stars
16952,good,5 stars
16953,good fastfood,4 stars
16954,fast service,4 stars
16955,,5 stars
16956,nice place,5 stars
16957,breakfast,4 stars
16958,usual,4 stars
16959,friendly,5 stars
16960,,3 stars
16961,slow service,3 stars
16962,big perfect combination juicy beef cheese tangy sauce,5 stars
16963,crazy,2 stars
16964,,3 stars
16965,expensive,1 star
16966,fry cold soggy usual mcdonald standard negative found hair burger disgusting,5 stars
16967,froyozombie,5 stars
16968,mcdonald,5 stars
16969,mcdonald,4 stars
16970,nice mcdonald,5 stars
16971,mediocre mcdonald,4 stars
16972,mcdonald,5 stars
16973,mcdonald,3 stars
16974,macdonald,4 stars
16975,,2 stars
16976,mcdonald,3 stars
16977,,5 stars
16978,mcdonald,3 stars
16979,cheap food,5 stars
16980,mcdonald,3 stars
16981,fast food,2 stars
16982,mcdonald,2 stars
16983,mcdonald,5 stars
16984,mcdonald,3 stars
16985,,4 stars
16986,mcdonald,3 stars
16987,mcdonald,5 stars
16988,order mobile app pickup close door little window,2 stars
16989,several service order online screen checkout,5 stars
16990,norm gentle begin convenient front cash register lean,5 stars
16991,bad coffee minute parking lot return lousy service,2 stars
16992,food plastic bag steam hot watery special delivery bag food plastic bag sweat heat food cause watery state delivery bag plastic,1 star
16993,bad service double hamburger,1 star
16994,order sauce long time,2 stars
16995,hungry waste jackpot,5 stars
16996,dirty little staff,4 stars
16997,friendly,5 stars
16998,person order friendly ordering nice day,3 stars
16999,love coffee,5 stars
17000,format store bathroom,3 stars
17001,muffin sausage thing napkin spicy sauce,5 stars
17002,,5 stars
17003,bad service complete order meat hamburger,1 star
17004,meal friend bread cheese exchange meat dollar damn mother fraud,1 star
17005,fish burger bread fish mayonnaise lettuce tomato think tomato,2 stars
17006,fine lady brown eye,5 stars
17007,lot homeless come money,3 stars
17008,pleasure passing byand breakfasti hispanic,5 stars
17009,good restaurant restaurant application good space,5 stars
17010,time thing coffee taste,1 star
17011,eat,5 stars
17012,fast service,5 stars
17013,fast service friendly fast staff,5 stars
17014,excellent service,5 stars
17015,toilet restaurant top cleanliness,3 stars
17016,excellent service tasty burger congratulation,5 stars
17017,,1 star
17018,bit speed delivering product,4 stars
17019,poor,2 stars
17020,good parking,3 stars
17021,attention,5 stars
17022,good,5 stars
17023,good,3 stars
17024,,5 stars
17025,good,5 stars
17026,good,4 stars
17027,good,5 stars
17028,coffee,5 stars
17029,good weather new furniture,5 stars
17030,bad,1 star
17031,perfect breakfast,5 stars
17032,good coffee,4 stars
17033,poor,2 stars
17034,terrible,1 star
17035,excellent service facility food,5 stars
17036,food little cold,3 stars
17037,,5 stars
17038,service,5 stars
17039,poor,2 stars
17040,calm,4 stars
17041,neutral,3 stars
17042,good,5 stars
17043,neutral,3 stars
17044,service,5 stars
17045,excellent,5 stars
17046,good quality,4 stars
17047,neutral,3 stars
17048,excellent,5 stars
17049,,1 star
17050,excellent,5 stars
17051,excellent,5 stars
17052,pleasant,5 stars
17053,good,4 stars
17054,excellent,5 stars
17055,excellent,5 stars
17056,excellent,5 stars
17057,good place,4 stars
17058,excellent,5 stars
17059,terrible,1 star
17060,good,4 stars
17061,excellent,5 stars
17062,excellent,5 stars
17063,good,4 stars
17064,excellent,5 stars
17065,excellent,5 stars
17066,excellent,5 stars
17067,excellent,5 stars
17068,terrible,1 star
17069,excellent,5 stars
17070,neutral,3 stars
17071,good,4 stars
17072,bad service,1 star
17073,big,5 stars
17074,excellent,5 stars
17075,terrible,1 star
17076,poor,2 stars
17077,breakfast,5 stars
17078,excellent,5 stars
17079,coffee good,3 stars
17080,excellent,5 stars
17081,excellent,5 stars
17082,excellent,5 stars
17083,terrible,1 star
17084,regular,3 stars
17085,neutral,3 stars
17086,neutral,3 stars
17087,neutral,3 stars
17088,excellent,5 stars
17089,excellent,5 stars
17090,excellent,5 stars
17091,excellent,5 stars
17092,poor,2 stars
17093,terrible,1 star
17094,good,4 stars
17095,excellent,5 stars
17096,excellent,5 stars
17097,gooooddddd,5 stars
17098,food,5 stars
17099,good,4 stars
17100,neutral,3 stars
17101,,5 stars
17102,excellent,5 stars
17103,neutral,3 stars
17104,good,4 stars
17105,good,4 stars
17106,terrible,1 star
17107,good,4 stars
17108,good,4 stars
17109,good,4 stars
17110,good,4 stars
17111,excellent,5 stars
17112,excellent,5 stars
17113,good,4 stars
17114,poor,2 stars
17115,neutral,3 stars
17116,excellent,5 stars
17117,excellent,5 stars
17118,excellent,5 stars
17119,good,4 stars
17120,good,4 stars
17121,excellent,5 stars
17122,excellent,5 stars
17123,good,4 stars
17124,excellent,5 stars
17125,terrible,1 star
17126,good,4 stars
17127,excellent,5 stars
17128,terrible,1 star
17129,excellent,5 stars
17130,neutral,3 stars
17131,terrible,1 star
17132,excellent,5 stars
17133,excellent,5 stars
17134,good,4 stars
17135,neutral,3 stars
17136,good,4 stars
17137,excellent,5 stars
17138,terrible,1 star
17139,excellent,5 stars
17140,good,4 stars
17141,excellent,5 stars
17142,good,4 stars
17143,good,4 stars
17144,good,4 stars
17145,good,4 stars
17146,excellent,5 stars
17147,excellent,5 stars
17148,excellent,5 stars
17149,good,4 stars
17150,excellent,5 stars
17151,excellent,5 stars
17152,neutral,3 stars
17153,excellent,5 stars
17154,excellent,5 stars
17155,excellent,5 stars
17156,terrible,1 star
17157,good,4 stars
17158,excellent,5 stars
17159,neutral,3 stars
17160,good,4 stars
17161,excellent,5 stars
17162,good,4 stars
17163,excellent,5 stars
17164,excellent,5 stars
17165,good,4 stars
17166,excellent,5 stars
17167,good,4 stars
17168,poor,2 stars
17169,terrible,1 star
17170,terrible,1 star
17171,neutral,3 stars
17172,excellent,5 stars
17173,excellent,5 stars
17174,good,4 stars
17175,good,4 stars
17176,good,4 stars
17177,good,4 stars
17178,poor,2 stars
17179,excellent,5 stars
17180,poor,2 stars
17181,neutral,3 stars
17182,good,4 stars
17183,neutral,3 stars
17184,excellent,5 stars
17185,excellent,5 stars
17186,excellent,5 stars
17187,excellent,5 stars
17188,excellent,5 stars
17189,good,4 stars
17190,good,4 stars
17191,excellent,5 stars
17192,neutral,3 stars
17193,terrible,1 star
17194,neutral,3 stars
17195,excellent,5 stars
17196,excellent,5 stars
17197,good,4 stars
17198,good,4 stars
17199,neutral,3 stars
17200,neutral,3 stars
17201,excellent,5 stars
17202,excellent,5 stars
17203,terrible,1 star
17204,neutral,3 stars
17205,excellent,5 stars
17206,excellent,5 stars
17207,neutral,3 stars
17208,excellent,5 stars
17209,good,4 stars
17210,neutral,3 stars
17211,good,4 stars
17212,good,4 stars
17213,good,4 stars
17214,good,4 stars
17215,neutral,3 stars
17216,excellent,5 stars
17217,excellent,5 stars
17218,excellent,5 stars
17219,excellent,5 stars
17220,excellent,5 stars
17221,excellent,5 stars
17222,excellent,5 stars
17223,good,4 stars
17224,neutral,3 stars
17225,excellent,5 stars
17226,excellent,5 stars
17227,excellent,5 stars
17228,good,4 stars
17229,excellent,5 stars
17230,mcdonald year pail adult happy meal big sandwich burger patty last year burger chip service,3 stars
17231,old food wife nasty look greasy compa,1 star
17232,hrs night sign manager small sign display bunch kid line customer minute good customer nice enough knock window ask,3 stars
17233,way review fast food chain big world easy place installment gigantic corporation important place individual work reason couple year phenomenal job smile miserable demeanor basic customer service skill nice day friendly consistent line woman payment nice woman food job smile nice genuine business good customer service people customer people everyday encounter,5 stars
17234,rude charge sandwich unreal,1 star
17235,pleasant experience overnight recent experience fast food industry whole chick rare occurrence praise,5 stars
17236,mobile drive drive order turn multiple people mobile order first order sandwich short,1 star
17237,hot food friendly face first month good time,5 stars
17238,food fry hot crispymy burger hot juicy deliciousill,5 stars
17239,pleased mcdonald location food service speaker window cashier great order accurate,5 stars
17240,food cold butter muffin sad work,1 star
17241,fresh hot food item order correct table cashier polite helpful kid play equipment air play area touch screen happy mealschose toy chicken sandwich meal table tent table food happy meal toy apple drink thing issue right first time attention,5 stars
17242,price food crazy large sweet tea mcdonald corporation customer profit,4 stars
17243,wrong breakfast sandwich time sausage egg cheese bagel bacon egg cheese bagel good,4 stars
17244,incompetent staff willing help customer manager employee customer customer top lady order kiosk mine order thing,1 star
17245,system night,1 star
17246,late night ladys night work good pleasant people time food well fry fresh double quarter pounder fresh mrsshamee manager,5 stars
17247,sure order wrong order home time,3 stars
17248,absolute bad mcdonald incompetent management last breakfast order wrong work job today steak egg cheese bagel right exception long black hair way home manager first manager receipt left manager black woman ignorant vile person apology response hour ridiculous closed window corporate phone number ignorant woman phone left hook phone number receipt incompetent jib funny thing free sorry enough close dump mcdonald racist manager sure,1 star
17249,mcdonald location reason star food good people hour food woman register name assume manager blue shirt glass annoying sound key word stop check show neglectful resource workplace reaction woman disrespectful store obvious woman bad day furious skin advantage know people bully manager concern show woman point lenient woman manager establishment place manager customer employee visit review location numerous problem particular person heartbroken work shift road well heart woman food good man autism people location cost mcdonald clear location worth time worth sanity machine flat least month corporate antic afoot location,1 star
17250,special fast service fast food chain terrible stomach,3 stars
17251,ice coffe sausage burrito line attendant attentive check time close minute simple order change star burrito sick stomach,1 star
17252,slow mcdonald entire order minute food cold simple job people incapable,1 star
17253,pregnant female experience terrible poorly manager coworker entire shift mean time manager daisy break morning right hungry daisy rude manager hard time first time manager patient respect friend language manager rude discrimination pregnancy harsh treatment time uncomfortable hispanic female one mini break whole shift pregnant female spot whole day person nice company press charge,1 star
17254,food ice cream machine,5 stars
17255,cold hash brown egg mcmuffin,1 star
17256,management sign order kiosk free cookie order associate discuss folk complete displeasure kiosk paper bill direct feedback modern tech switch sms email digital copy,2 stars
17257,breakfast sandwich hash brown afternoon side wait minute time manager minute fault breakfast noon rude unbelievable attitude money minute employee back manager wife deal unprofessional minute bad restaurant,1 star
17258,burger wait minute food wrong order talk employee correct food manager rude fault daughter wrong burger right burger idea manager awful experience top bathroom stall employee hand bathroom burger,1 star
17259,morning low expectation review expectation friendly greeting clean restaurant cafe fast food food hot fresh nice commercial pleasant experience nanagrr raise,5 stars
17260,unprofessional staff clueless job rude,1 star
17261,favorite time 730am hispanic girl nice friendly food table ready,5 stars
17262,floor soapy hour floor soapy slippery whole time much soap mop bucket slip entryway employee food play place,1 star
17263,manager tonight helpful order drive spot well min car line pay order order next time extra make order right macchiato large cup sugar cream squirt espresso macchiato cup creamer sugar espresso attitude next time espresso macchiato espresso 7th cup espresso manager helpful way many mcdonald lot coffee place macchiato work mcdonald right proceed machine help rid espresso drink espresso good night dint care thing wanted rid meso stuff,1 star
17264,great store frappe sad able fill,2 stars
17265,minute order self minute disrespectfull,1 star
17266,order pm response minute online place open am order pm owner usual,1 star
17267,mcdonald breakfast bagel sandwich decent food decent fry sundaes daughter,2 stars
17268,great kid area little toilet toddler place,5 stars
17269,service quick long line order staff friendly,4 stars
17270,stuff today exact opposite drive thing minute parking lot big meal happy meal,2 stars
17271,door dash mcdonald son hotcake butter syrup jelly biscuit good day,2 stars
17272,pm last night deluxe crispy chicken sandwich double quarter pounder fry guy crispy chicken small one quarter pounder small fry overall negative experience issue mic case worker,3 stars
17273,location week period member household large fry filet fish first time location last time,1 star
17274,kid food next manger male nice food inconvenience,3 stars
17275,biscuit gravy stupid,3 stars
17276,good mcdonald sure,4 stars
17277,order quick handle volume peak hour employee patient,5 stars
17278,clear rating star generous star mcdonald ill staff tired ready home place clean service terrible stellar cooky friend chocolate chip sugar cookie chocolate chip sugar cookie polite busy order friendly food mistake area,4 stars
17279,manager great customer service sure customer care friendly friendly behavior sure food hot happy people closing dining room area happy part,4 stars
17280,store busy store top order messed meal real burger,3 stars
17281,d place order matter order messed cheese place order head counter employee kiosk place food order human employee head register order hope use order help flippant job help people kiosk food place clean point dollar minimum wage person oversee kiosk people job machine human working machine many germ machine order food month story news percent kiosk presence fecal matter kiosk self checkout,3 stars
17282,order clerk glass water accusing soda mcdonald daily team nikki horrible accusatory stance main manager training customer,1 star
17283,mcnugget least time home stomach move bathroom order eat,1 star
17284,excellent new children area inexpensive kid meal minute order lot peoplekid little adult,4 stars
17285,mcdonald open area fry fresh beef stomach jack plane passenger battery acid,4 stars
